method,raw_file,infra_file,raw_image_id,infra_image_id,raw_block,infra_block,reg_iou,decision,gt_regions,pred_regions,ari,cover_gt,cover_pred,boundary_precision,boundary_recall,boundary_f1,eval_area,raw_regions,infra_candidate_regions,raw_score,infra_score,auto_mask_iou
watershed_raw_led_seed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,watershed_raw_led,2,2,0.6579380798749063,0.8668582477609258,0.8468955157146707,0.015424164524381943,0.015384615384575938,0.015404364069922781,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_canny_vote3,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw_canny_vote3,2,11,0.08411135567715584,0.4236735034780954,0.26642443478545697,0.06054490413717402,0.15384615384575936,0.08689355498921171,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_canny_lcorr_closed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw_canny_lcorr_closed,2,2,0.6717970752380548,0.872534972410348,0.8540565846700102,0.013020833333299425,0.012820512820479947,0.012919896140823554,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_canny_union_closed,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw_canny_union_closed,2,1,0.0,0.7398481543642239,0.8463005590265247,0.0,0.0,0.0,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_canny_recall_clean,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,raw_canny_recall_clean,2,1,0.0,0.7398481543642239,0.8463005590265247,0.0,0.0,0.0,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
selective_hybrid_v4_smooth,pair_001_raw_png.rf.736e042afd62ff354ae7635e62e3b44d.jpg,pair_001_infra_png.rf.aab5c8107fca10679e8cd810b894d70f.jpg,18,13,1,1,0.8222029957280689,hybrid_raw_infra,2,2,0.8423676196625436,0.9401317411718725,0.9372456077402505,0.6052009456250468,0.6435897435880934,0.6238052933396173,15205,2,5,0.5899077377008143,0.38545726015854676,0.7999672703468906
raw_v3_warp,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw,4,2,0.7866680846451174,0.8152977902078482,0.8596552167880553,0.284122562673699,0.33881578947312696,0.3090681763070951,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
merge_to_one,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,one,4,1,0.0,0.6052158708892303,0.7599889607800583,0.0,0.0,0.0,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
infra_candidate,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,infra,4,7,0.17620338208696174,0.3603496491953443,0.345274143070238,0.1965152813481301,0.722039473683023,0.3089457419574076,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
infra_candidate_coarse,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,infra_coarse,4,4,0.22879274826597287,0.39351077564946607,0.39286826180820233,0.24783861671460813,0.722039473683023,0.3690139326955441,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
infra_coarse_t2,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,infra_t2,4,2,-0.12476644093418839,0.4393925782860112,0.47829716427102154,0.08247422680403868,0.10526315789456371,0.09248554864019512,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
infra_coarse_t3,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,infra_t3,4,3,0.38446853434795913,0.598399685240445,0.5469945492852054,0.19159200551330696,0.4358552631571779,0.26617817310980973,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
infra_coarse_t4,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,infra_t4,4,4,0.2346650978839421,0.4676874705508501,0.4067271817488866,0.12231503579948619,0.539473684209639,0.19941634211101295,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
hybrid_raw_infra,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,hybrid,4,2,0.8547340491003426,0.842190240615959,0.8783352833058312,0.6589473684196654,0.5148026315781007,0.5780240068933616,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_led_refined,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_led,4,3,0.748385635059314,0.7966618616890816,0.7819119921003524,0.3833333333329575,0.621710526314767,0.47425267244920927,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_led_weakmerge,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_led_weakmerge,4,3,0.748385635059314,0.7966618616890816,0.7819119921003524,0.3833333333329575,0.621710526314767,0.47425267244920927,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
mean_shift_watershed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,watershed,4,2,0.8108938479946538,0.8243605069836089,0.8663765574449279,0.39834710743735813,0.38980263157830625,0.39402855289301336,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
watershed_raw_seed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,watershed_raw,4,2,0.8108938479946538,0.8243605069836089,0.8663765574449279,0.39834710743735813,0.38980263157830625,0.39402855289301336,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
watershed_raw_led_seed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,watershed_raw_led,4,3,0.7554926203741325,0.7998788378901298,0.7827600566584899,0.4376278118604932,0.6348684210515874,0.5181110555711442,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_canny_vote3,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_canny_vote3,4,4,0.9200399907168486,0.9426924415847701,0.9448241621576361,0.6247818499116496,0.5921052631569209,0.6080048303260437,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_canny_lcorr_closed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_canny_lcorr_closed,4,4,0.3666975511493515,0.6125716502769197,0.57690583080267,0.4185022026425573,0.47532894736763925,0.44510914892214565,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_canny_union_closed,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_canny_union_closed,4,5,0.3772094993603973,0.5926501853208985,0.5352647443114521,0.31370192307654604,0.4259868421045625,0.36132194426429065,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_canny_recall_clean,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_canny_recall_clean,4,5,0.41804011542255065,0.6462619978039341,0.581728014372827,0.387261146496322,0.49999999999917766,0.43646805406595285,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
selective_hybrid_v4_smooth,pair_002_raw_png.rf.0de21b8ce42bde32231d2b355a509ebc.jpg,pair_002_infra_png.rf.7326230b1a20f1a87b21231547936d2c.jpg,7,11,1,1,0.9449177097820775,raw_canny_multichannel,4,4,0.9200399907168486,0.9426924415847701,0.9448241621576361,0.6247818499116496,0.5921052631569209,0.6080048303260437,32611,2,7,0.6006362950072579,0.8460221753154771,0.9443967490842221
raw_v3_warp,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,raw,5,5,0.16316174037107806,0.41585521591376995,0.43082158792917785,0.13385464581410586,0.2520035618875761,0.17484063710270142,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
merge_to_one,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,one,5,1,0.0,0.3942818499151144,0.5681754445005011,0.0,0.0,0.0,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
infra_candidate,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,infra,5,10,0.23742638318721426,0.4487273213200723,0.37966688878081983,0.15812758669899268,0.7818343722165789,0.26305231009142993,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
infra_candidate_coarse,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,infra_coarse,5,5,0.21066263672828067,0.4089849310622668,0.4047851387947361,0.1442958847021802,0.633125556544405,0.23502673670829388,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
infra_coarse_t2,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,infra_t2,5,2,0.02897950926918204,0.3978931288218587,0.4039991277628869,0.1622232263894432,0.2858414959926217,0.20697960493697856,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
infra_coarse_t3,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,infra_t3,5,3,0.09558598824076324,0.41769743809702015,0.4257277665695082,0.14546191247968174,0.2858414959926217,0.1928065012238679,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
infra_coarse_t4,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,infra_t4,5,4,0.1350748322025464,0.4154633139681556,0.34479763368455085,0.16816894154000306,0.4915405164732934,0.2506007675044542,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
hybrid_raw_infra,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,hybrid,5,5,0.15267570513758102,0.4440005596911011,0.44764485947379473,0.18657683337647407,0.585040071237235,0.2829251746447241,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
raw_led_refined,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,raw_led,5,8,0.3324936142621854,0.552947376621802,0.49361195125818985,0.20162016201614114,0.5645592163841812,0.29712760153940626,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
raw_led_weakmerge,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,raw_led_weakmerge,5,5,0.5290243893796428,0.6816423103444244,0.6706892355240409,0.266878474980037,0.5645592163841812,0.36242932955349666,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
mean_shift_watershed,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,watershed,5,5,0.165486943542076,0.4135189776022503,0.4292501431050754,0.17314487632500095,0.30186999109501167,0.22006571056702057,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
watershed_raw_seed,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,watershed_raw,5,5,0.165486943542076,0.4135189776022503,0.4292501431050754,0.17314487632500095,0.30186999109501167,0.22006571056702057,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
watershed_raw_led_seed,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,watershed_raw_led,5,8,0.3339584905240753,0.5523100580133572,0.49277214748406184,0.2146783058518543,0.5520926090823223,0.30914658740472506,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
raw_canny_vote3,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,raw_canny_vote3,5,11,0.648172319443389,0.7550892942705691,0.6591244486068669,0.476022566995433,0.5948352626886956,0.5288377234979531,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
raw_canny_lcorr_closed,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,raw_canny_lcorr_closed,5,5,0.8028553830607944,0.8344546595446752,0.867211614333779,0.592929292928694,0.5164737310770111,0.5520670077173475,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
raw_canny_union_closed,pair_003_raw_png.rf.1a1932f6e5738ebd6ba2ff488ecf72b7.jpg,pair_003_infra_png.rf.d1dad70341604e75e9730a67bbc89c6d.jpg,9,10,1,1,0.8380258519388758,raw_canny_union_closed,5,10,0.4891783446981264,0.611399902267062,0.48922760582759767,0.30774278215202905,0.42119323241280393,0.35563938232873304,35658,5,10,1.0495960641503073,0.5872272432621392,0.8231514929809132
